GEO_ID|B08301_E001|B08301_M001|B08301_E002|B08301_M002|B08301_E003|B08301_M003|B08301_E004|B08301_M004|B08301_E005|B08301_M005|B08301_E006|B08301_M006|B08301_E007|B08301_M007|B08301_E008|B08301_M008|B08301_E009|B08301_M009|B08301_E010|B08301_M010|B08301_E011|B08301_M011|B08301_E012|B08301_M012|B08301_E013|B08301_M013|B08301_E014|B08301_M014|B08301_E015|B08301_M015|B08301_E016|B08301_M016|B08301_E017|B08301_M017|B08301_E018|B08301_M018|B08301_E019|B08301_M019|B08301_E020|B08301_M020|B08301_E021|B08301_M021
1400000US25017320106|3292|348|2114|379|1915|366|199|119|183|115|16|25|0|19|0|19|0|19|26|34|0|19|0|19|26|34|0|19|0|19|0|19|0|19|46|62|58|69|0|19|1048|229
1400000US25017320107|2336|385|1535|387|1464|388|71|53|71|53|0|14|0|14|0|14|0|14|112|75|0|14|23|35|89|64|0|14|0|14|0|14|0|14|0|14|40|44|7|11|642|183
1400000US25017321100|3011|439|1987|428|1899|401|88|100|88|100|0|19|0|19|0|19|0|19|18|28|18|28|0|19|0|19|0|19|0|19|81|129|0|19|0|19|62|79|85|90|778|258
1400000US25017321200|4811|776|3767|739|3057|643|710|293|539|242|167|174|4|12|0|19|0|19|38|55|32|49|0|19|6|25|0|19|0|19|0|19|47|52|0|19|225|162|283|157|451|179
1400000US25017321301|2469|670|2181|602|1883|587|298|161|172|110|126|123|0|14|0|14|0|14|10|23|0|14|10|23|0|14|0|14|0|14|0|14|0|14|0|14|11|18|101|148|166|118
1400000US25017321302|1850|527|1350|506|1156|363|194|190|191|188|3|10|0|14|0|14|0|14|67|59|0|14|0|14|67|59|0|14|0|14|0|14|0|14|0|14|63|84|144|125|226|125
1400000US25017321400|2358|290|1901|256|1772|246|129|92|94|79|0|14|0|14|28|43|7|10|0|14|0|14|0|14|0|14|0|14|0|14|14|22|0|14|0|14|0|14|0|14|443|181
1400000US25017321500|3982|587|3006|498|2670|470|336|210|309|201|0|19|27|43|0|19|0|19|30|38|14|24|0|19|16|29|0|19|0|19|63|78|0|19|18|27|56|65|42|66|767|289
1400000US25017321600|3747|602|2975|641|2360|378|615|427|383|347|182|206|38|70|12|20|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|29|33|0|19|743|214
1400000US25017322100|2606|261|2158|246|2024|248|134|75|134|75|0|14|0|14|0|14|0|14|10|15|0|14|0|14|10|15|0|14|0|14|0|14|0|14|0|14|10|15|17|29|411|128
1400000US25017322200|2175|265|1617|263|1453|261|164|102|164|102|0|14|0|14|0|14|0|14|31|36|0|14|0|14|31|36|0|14|0|14|0|14|0|14|0|14|112|80|0|14|415|193
1400000US25017322300|2832|423|2158|398|1869|343|289|155|264|158|25|36|0|19|0|19|0|19|15|24|15|24|0|19|0|19|0|19|0|19|0|19|0|19|0|19|20|32|149|129|490|233
1400000US25017322400|2686|388|2063|307|1991|310|72|63|33|37|0|14|33|50|0|14|6|9|62|58|0|14|40|53|22|24|0|14|0|14|45|55|0|14|0|14|152|173|0|14|364|134
