GEO_ID|B01003_E001|B01003_M001
1400000US25017382300|5994|605
1400000US25017382400|5275|605
1400000US25017382500|5697|1001
1400000US25017382601|4661|609
1400000US25017382602|4845|476
1400000US25017383101|4177|481
1400000US25017383102|5474|828
1400000US25017383200|6225|992
1400000US25017383300|3741|622
1400000US25017383401|2859|690
1400000US25017383402|3838|607
1400000US25017383501|4110|485
1400000US25017383502|3963|560
1400000US25017383600|6046|713
1400000US25017383700|5193|719
1400000US25017383800|6103|1200
1400000US25017383902|5920|777
1400000US25017383903|2527|427
1400000US25017383904|4913|476
1400000US25017384003|5475|820
1400000US25017384004|1449|171
1400000US25017385101|2978|655
1400000US25017385102|4762|504
1400000US25017385201|2871|349
1400000US25017385203|4611|508
1400000US25017385204|3472|357
1400000US25017386100|4404|21
1400000US25017387100|4377|382
1400000US25017387201|5976|448
1400000US25017387202|4611|500
1400000US25017388100|5468|20
1400000US25017388200|7017|29
1400000US25017388300|6099|437
1400000US25017980000|0|14
1400000US25019950100|2385|623
1400000US25019950201|4665|769
1400000US25019950202|2660|669
1400000US25019950307|478|155
1400000US25019950400|2932|725
1400000US25019950500|1179|205
1400000US25019990000|0|14
1400000US25021400100|5314|513
1400000US25021400201|3198|558
1400000US25021400202|3567|679
1400000US25021400300|4497|633
1400000US25021400401|3945|558
1400000US25021400402|1957|359
1400000US25021400500|5716|639
1400000US25021400600|5343|639
1400000US25021400700|3912|447
1400000US25021400800|5948|592
1400000US25021400900|3884|455
1400000US25021401000|3561|416
1400000US25021401100|4804|540
1400000US25021401201|5475|776
1400000US25021401202|1701|222
1400000US25021402101|3380|348
1400000US25021402102|4642|528
1400000US25021402200|2302|331
1400000US25021402300|4483|464
1400000US25021402400|6367|567
1400000US25021402500|3935|378
1400000US25021403100|7472|661
1400000US25021403300|4561|456
1400000US25021403400|6971|694
1400000US25021403501|2750|462
1400000US25021403502|4256|517
1400000US25021404100|4375|628
1400000US25021404201|3998|354
1400000US25021404202|5668|472
1400000US25021404301|5776|740
